language,tier,paradigm,type
Python,1,multi-paradigm,interpreted
JavaScript,1,multi-paradigm,interpreted
TypeScript,1,multi-paradigm,interpreted
Java,1,object-oriented,compiled
C,1,procedural,compiled
C++,1,multi-paradigm,compiled
C#,1,object-oriented,compiled
Go,1,concurrent,compiled
Rust,1,systems,compiled
Kotlin,1,multi-paradigm,compiled
Swift,1,multi-paradigm,compiled
PHP,1,multi-paradigm,interpreted
Ruby,1,object-oriented,interpreted
Scala,2,functional,compiled
R,2,statistical,interpreted
MATLAB,2,numerical,interpreted
Shell,2,scripting,interpreted
PowerShell,2,scripting,interpreted
Dart,2,object-oriented,compiled
Lua,2,scripting,interpreted
Perl,2,multi-paradigm,interpreted
Haskell,2,functional,compiled
Elixir,2,functional,interpreted
Clojure,2,functional,compiled
F#,2,functional,compiled
Erlang,2,concurrent,compiled
Julia,2,numerical,compiled
Objective-C,2,object-oriented,compiled
Assembly,2,imperative,compiled
Groovy,2,object-oriented,interpreted
Vim Script,3,scripting,interpreted
Makefile,3,declarative,interpreted
Dockerfile,3,declarative,interpreted
HTML,3,markup,interpreted
CSS,3,declarative,interpreted
SCSS,3,declarative,interpreted
Less,3,declarative,interpreted
CoffeeScript,3,multi-paradigm,interpreted
ActionScript,3,object-oriented,compiled
Fortran,3,procedural,compiled
COBOL,3,procedural,compiled
Ada,3,concurrent,compiled
Prolog,3,logic,interpreted
Scheme,3,functional,interpreted
Common Lisp,3,multi-paradigm,interpreted
OCaml,3,functional,compiled
Racket,3,functional,interpreted
Crystal,3,object-oriented,compiled
Nim,3,multi-paradigm,compiled
Zig,3,systems,compiled
